age,career_span_years,peak_value_eur,value_cagr,value_multiplier_x,post_peak_decline_pct,goals,assists,minutes_played,days_missed,games_missed,sentiment_score,current_value_eur,performance_efficiency,injury_risk_index,is_at_peak,league_name_Bundesliga,league_name_La Liga,league_name_Ligue 1,league_name_Premier League,league_name_Serie A,trajectory_declining,trajectory_falling_sharply,trajectory_growing,trajectory_rising_star,trajectory_stable,sentiment_label_Negative,sentiment_label_Neutral,sentiment_label_Positive
-0.201863813,0.840074954,4.94918174,-0.057663628,1.638437295,-0.748713095,5.605644258,1.803405896,-0.070093147,0.642905402,0.89077934,-0.157728134,5.884923292,4.266134622,-0.666379339,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.363937163,-0.084687645,3.351478187,-0.058737231,-0.61376132,-0.069371232,-0.42720132,-0.489144948,-0.491997097,0.242893663,0.1779255,-0.548634863,3.353905413,-0.484223679,0.896861845,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
0.122282887,0.558625467,2.392856055,-0.058041484,-0.110718051,-0.748713095,0.286608653,0.9587819,1.547307755,-0.877139207,-0.636764603,0.53613131,2.992331431,0.615333807,-0.667106572,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.526010512,-0.580574835,2.712396766,-0.05568786,-0.064687647,-0.356804698,-0.42720132,-0.489144948,-0.491997097,-0.034037541,-0.16152871,0.97590138,2.992331431,-0.484223679,0.564883878,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.039790463,1.010954999,3.031937476,-0.058305176,0.14244917,-0.020446386,2.888561135,0.717460759,0.042066315,1.012147007,1.264178971,-0.333636162,2.992331431,1.968941047,-0.666408219,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.363937163,-0.175153551,2.073315345,-0.054789155,4.400261527,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.827906993,-0.670710024,1.532943469,2.630757448,-0.484223679,-0.386786295,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.688083862,-0.349384186,3.031937476,-0.058822181,-0.630861615,0.343432151,-0.42720132,-0.489144948,-0.491997097,1.313694318,1.332069813,-0.988404933,2.630757448,-0.484223679,2.180509986,-0.545827318,0,0,0,1,0,0,0,0,0,1,0,1,0
-0.363937163,0.223566555,1.434233924,-0.058715897,-0.594037292,-0.748713095,-0.42720132,-0.489144948,-0.491997097,1.104457409,1.264178971,0.291814604,1.907609483,-0.484223679,1.929682188,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.526010512,0.2403195,1.434233924,-0.058939036,-0.621655534,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.274044585,-0.195474131,-0.206591475,1.907609483,-0.484223679,0.27716964,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.201863813,-0.547068944,1.274463568,-0.058195625,-0.614175593,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.66174827,-0.602819182,-0.372726835,1.726822492,-0.484223679,-0.187599514,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.201863813,0.66249373,1.274463568,-0.057875619,0.315063184,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.710599696,0.992615603,-0.099092125,1.726822492,-0.484223679,1.457535746,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
0.122282887,0.572027824,1.753774634,-0.057976138,0.104082828,0.015737614,-0.42720132,-0.489144948,-0.491997097,-0.18788821,-0.53492834,-0.362954167,1.726822492,-0.484223679,0.380451674,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.526010512,-0.516913642,1.274463568,-0.056101272,-0.174009857,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.495589548,-0.331255815,-0.685452218,1.726822492,-0.484223679,0.011587266,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.201863813,0.491613685,3.351478187,-0.059087411,-0.594037292,1.629747877,2.358960187,2.48714913,0.356881025,0.064426887,0.042143816,-0.470453517,1.5460355,2.795687161,-0.666878937,-0.545827318,0,0,0,1,0,1,0,0,0,0,0,1,0
-1.822597311,-1.495285667,1.114693213,-0.056365541,-0.644670736,-0.748713095,0.332660909,0.275038666,-0.194236771,-0.772520752,-0.670710024,-0.489998854,1.5460355,2.860244136,-0.666944425,1.832081259,0,0,0,1,0,0,0,0,1,0,0,1,0
-1.660523961,1.637515166,2.073315345,-0.059100672,-0.494312422,0.872941675,1.230679908,2.728470271,1.105891132,1.024455061,0.958670182,0.780448015,1.365248509,1.308779557,-0.666882797,-0.545827318,0,0,0,1,0,1,0,0,0,0,0,0,1
-1.498450611,0.193411253,0.954922858,-0.056894462,1.063057247,-0.748713095,-0.104835526,-0.086943046,0.890483507,-0.575591896,-0.670710024,-0.099092125,1.365248509,-0.030223523,-0.667058482,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
-1.336377261,1.031058534,0.954922858,-0.058054361,0.717829218,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.470592653,-0.025747026,0.487267969,1.365248509,-0.484223679,1.169821507,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
-1.174303911,0.97074793,2.712396766,-0.05852966,-0.064687647,1.407547538,0.332660909,1.079442471,1.528256011,0.907528552,1.128397287,-0.978632265,1.365248509,0.543755533,-0.666943722,-0.545827318,0,0,0,1,0,1,0,0,0,0,0,1,0
-1.012230562,0.464808972,0.954922858,-0.057839487,0.02737316,-0.748713095,0.309634781,0.87834152,0.876194699,-0.544821762,-0.433092077,-1.6138557,1.365248509,0.637071046,-0.667053664,-0.545827318,0,0,0,1,0,0,0,1,0,0,1,0,0
-0.850157212,0.518418398,1.274463568,-0.057021696,3.24950143,-0.149383739,-0.42720132,-0.489144948,-0.491997097,-0.729442565,-0.738600866,-1.349993658,1.365248509,-0.484223679,-0.268749684,-0.545827318,0,0,0,1,0,0,0,1,0,0,1,0,0
-0.688083862,0.421251313,0.954922858,-0.057516022,0.487677199,-0.748713095,1.553045702,1.722965515,0.020402638,-0.421741227,-0.331255815,-0.099092125,1.365248509,1.951092375,-0.666893258,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.526010512,0.652441963,0.954922858,-0.058136428,-0.087702849,-0.408787346,4.70762526,2.125167418,0.057123339,-0.62482411,-0.840437129,0.878174698,1.184461518,4.086720311,-0.666976731,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.363937163,-0.155050017,0.795152503,-0.058166027,-0.55567095,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.895601287,-0.908327971,-0.665906882,1.184461518,-0.484223679,-0.467936465,1.832081259,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.201863813,0.139801827,0.795152503,-0.056307305,2.559045372,-0.748713095,-0.035757141,0.033717525,1.236641409,1.516777201,2.112814495,0.291814604,1.184461518,0.096285117,-0.666848531,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.039790463,-0.077986467,1.114693213,-0.057202744,-0.049336508,-0.111670837,-0.42720132,-0.489144948,-0.491997097,-0.107885862,-0.025747026,-0.489998854,1.184461518,-0.484223679,0.47635642,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
0.122282887,-0.212010032,0.795152503,-0.057041492,-0.202778859,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.181353395,0.279761763,-0.060001452,1.184461518,-0.484223679,0.823088964,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
0.284356236,0.883632612,0.795152503,-0.057213314,5.781173642,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.046345595,0.347652605,0.438404627,1.184461518,-0.484223679,0.550129302,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
0.446429586,0.652441963,0.795152503,-0.057625189,0.947981237,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.218277556,0.076089237,-0.099092125,1.184461518,-0.484223679,0.867352693,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
0.608502936,0.441354848,0.635382147,-0.057394939,0.832905228,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.704445669,0.585270552,0.008407226,1.003674526,-0.484223679,1.450158458,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
0.770576286,0.025881796,0.635382147,-0.059511586,-0.655602957,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.077115728,0.076089237,0.360223282,1.003674526,-0.484223679,0.513242861,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
0.932649635,0.997552643,0.954922858,-0.057392633,6.241477681,-0.069371232,-0.42720132,-0.489144948,-0.491997097,-0.649440217,-0.636764603,0.09636124,1.003674526,-0.484223679,-0.172844938,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
1.094722985,0.622286661,0.795152503,-0.05726463,2.559045372,-0.384834557,-0.42720132,-0.489144948,-0.491997097,-0.987911688,-0.976218813,-0.421590176,1.003674526,-0.484223679,-0.578595787,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
1.256796335,0.16325595,0.635382147,-0.058309596,-0.513484085,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.858296338,1.433906076,0.633857992,1.003674526,-0.484223679,1.634590662,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
1.418869685,0.287227748,0.635382147,-0.05841492,-0.513484085,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.562903054,0.687106814,-0.597498204,1.003674526,-0.484223679,1.28048083,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
1.580943035,-0.191906497,0.635382147,-0.058056091,-0.543403848,-0.748713095,-0.42720132,-0.489144948,-0.491997097,1.375234586,1.909141969,-0.685452218,1.003674526,-0.484223679,2.254282867,1.832081259,0,0,0,1,0,0,0,0,1,0,0,1,0
1.743016384,-0.004273506,0.635382147,-0.057725707,-0.363885273,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-1.061760009,-1.010164234,-0.421590176,1.003674526,-0.484223679,-0.667123245,1.832081259,0,0,0,1,0,0,0,0,1,0,0,1,0
1.905089734,1.305806842,1.114693213,-0.057739353,6.70178172,0.52537142,-0.058783269,0.033717525,0.960237474,0.095197021,0.51737971,-0.099092125,0.822887535,-0.109760357,-0.666976526,-0.545827318,0,0,0,1,0,0,0,0,0,1,0,0,1
2.067163084,-1.120019685,0.475611792,-0.056487969,-0.607846413,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.446357334,-0.399146657,0.878174698,0.822887535,-0.484223679,0.070605571,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
2.229236434,-0.982645531,0.475611792,-0.051316377,0.25752518,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-1.012527795,-0.976218813,1.464534791,0.822887535,-0.484223679,-0.60810494,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
2.391309783,0.615585482,0.475611792,-0.058093953,-0.110718051,-0.748713095,-0.42720132,-0.489144948,-0.491997097,2.907587248,3.368795071,0.115906576,0.822887535,-0.484223679,4.09122762,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
2.553383133,-0.580574835,0.475611792,-0.0553963,0.02737316,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.194042237,0.1779255,1.269081427,0.822887535,-0.484223679,0.373074386,1.832081259,0,0,0,1,0,0,0,0,1,0,0,0,1
2.715456483,-0.573873657,1.114693213,-0.056550817,-0.294839667,0.52537142,-0.42720132,-0.489144948,-0.491997097,-0.630978136,-0.500982919,-0.929768924,0.822887535,-0.484223679,-0.150713074,-0.545827318,0,0,0,1,0,0,0,0,0,1,0,1,0
2.877529833,-0.155050017,0.635382147,-0.058258473,-0.563358028,-0.356804698,-0.42720132,-0.489144948,-0.491997097,-0.581745922,-0.433092077,-0.685452218,0.822887535,-0.484223679,-0.091694768,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
3.039603182,-0.007624095,0.795152503,-0.058306329,-0.534197767,-0.020446386,-0.42720132,-0.489144948,-0.491997097,-0.686364377,-0.568873761,-0.362954167,0.822887535,-0.484223679,-0.217108667,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
0.122282887,1.131576208,0.635382147,-0.058279998,0.334234848,-0.356804698,-0.104835526,-0.046722856,0.977445501,1.042917141,1.535742339,-1.076358947,0.822887535,-0.144522858,-0.666859467,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.039790463,0.997552643,1.434233924,-0.058063394,1.408285276,1.233252776,2.681325982,2.084947227,0.678763317,0.581365134,0.822888498,0.878174698,0.642100544,2.333170894,-0.666864783,-0.545827318,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.201863813,-0.155050017,0.315841437,-0.058309789,-0.578686152,-0.748713095,-0.012731013,-0.086943046,0.950865245,-0.446357334,-0.399146657,-1.076358947,0.642100544,0.135747026,-0.667044696,1.832081259,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.526010512,-1.270796195,0.315841437,-0.050672523,-0.409915676,-0.748713095,-0.335096807,-0.408704568,-0.067020285,-1.006373769,-0.976218813,0.878174698,0.642100544,-0.191664011,-0.667099249,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.201863813,0.169957129,0.315841437,-0.057917326,-0.346623871,-0.748713095,-0.42720132,-0.489144948,-0.491997097,0.852142312,0.89077934,-0.489998854,0.642100544,-0.484223679,1.627213373,-0.545827318,0,0,0,1,0,0,0,1,0,0,0,1,0
-1.012230562,-0.982645531,0.315841437,-0.051571997,0.180815512,-0.748713095,-0.42720132,-0.489144948,-0.491997097,-0.089423782,-0.093637868,-1.369538994,0.642100544,-0.484223679,0.498488285,-0.545827318,0,0,0,1,0,0,0,1,0,0,1,0,0
