ID,Name,Age,OVA,Nationality,Club,BP,foot,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength,Height_cm,Weight_kg,Contract_Years,total_injuries,total_days_missed,total_games_missed,avg_days_per_injury,injury_risk_score,latest_market_val,latest_season,avg_sentiment,sentiment_label,sentiment_count
189509,Thiago,29,85,Spain,Liverpool,CM,Right,373,54,89,432,395,74,75,75.0,73,59,175.3,69.9,4.0,1,24,3,24.0,24.0,25000000.0,2020.0,0.224,positive,5.0
146530,Dani Alves,35,82,Brazil,Paris Saint-Germain,CAM,Right,368,71,83,405,403,75,86,80.0,74,55,172.7,68.0,2.0,15,488,88,32.5,32.5,1000000.0,2021.0,0.476,positive,5.0
194911,Adrián,33,76,Spain,Liverpool,GK,Right,76,15,21,99,263,46,51,69.0,38,63,190.5,79.8,2.0,2,42,11,21.0,21.0,1000000.0,2019.0,0.266,positive,5.0
195093,Willian José,28,80,Brazil,Real Sociedad,ST,Right,372,84,78,333,318,64,84,79.0,70,92,188.0,91.2,8.0,12,214,36,17.8,17.8,18000000.0,2021.0,0.088,positive,5.0
225478,Serginho,25,73,Brazil,Kashima Antlers,CAM,Left,348,65,76,359,327,63,76,55.0,77,84,180.3,82.1,2.0,18,682,99,37.9,37.9,25000.0,2019.0,0.353,positive,5.0
256612,Evanilson,20,73,Brazil,FC Porto,ST,Right,327,75,72,286,329,73,75,64.0,68,63,193.0,87.1,5.0,9,198,33,22.0,22.0,7500000.0,2020.0,0.278,positive,5.0
256516,Nico Williams,17,64,Spain,Athletic Club de Bilbao,ST,Left,310,70,59,295,338,77,65,65.0,53,60,180.3,67.1,1.0,15,137,26,9.1,9.1,5000000.0,2021.0,0.59,positive,5.0
235338,Marlon,23,71,Brazil,Trabzonspor,LWB,Left,286,43,65,362,362,77,75,60.0,75,70,172.7,68.0,1.0,20,633,66,31.6,31.6,1500000.0,2020.0,-0.129,negative,5.0
252150,Patrick William,23,71,Brazil,Famalicão,CB,Right,307,67,66,304,282,55,84,87.0,73,77,185.4,82.1,5.0,1,49,5,49.0,49.0,1200000.0,2021.0,0.332,positive,5.0
200228,Bruno,30,74,Spain,Real Valladolid CF,CB,Right,208,77,64,243,205,34,62,62.0,62,86,185.4,86.2,2.0,6,172,31,28.7,28.7,1500000.0,2020.0,0.299,positive,5.0
200145,Casemiro,28,89,Brazil,Real Madrid,CDM,Right,349,80,84,369,343,60,88,87.0,90,91,185.4,83.9,10.0,11,268,61,24.4,24.4,70000000.0,2015.0,0.247,positive,5.0
164240,Thiago Silva,35,85,Brazil,Chelsea,CB,Right,322,81,80,349,332,57,71,90.0,71,82,182.9,78.9,1.0,15,325,68,21.7,21.7,3000000.0,2020.0,0.334,positive,5.0
212823,Gabriel Barbosa,22,81,Brazil,Inter,CF,Left,384,74,75,361,409,79,81,76.0,83,59,177.8,68.0,8.0,5,69,11,13.8,13.8,26000000.0,2019.0,0.467,positive,5.0
210243,Ricardo Pereira,26,85,Portugal,Leicester City,RB,Right,352,65,83,372,410,84,74,75.0,88,69,175.3,69.9,5.0,9,739,103,82.1,82.1,30000000.0,2018.0,-0.083,negative,5.0
199564,Sergi Roberto,28,83,Spain,FC Barcelona,RB,Right,352,72,84,376,377,75,65,43.0,92,69,177.8,68.0,9.0,15,666,111,44.4,44.4,15000000.0,2013.0,0.394,positive,5.0
210385,Rui Silva,26,79,Portugal,Granada CF,GK,Right,92,14,25,107,190,31,56,62.0,27,66,190.5,91.2,4.0,3,18,4,6.0,6.0,12000000.0,2021.0,-0.048,neutral,5.0
242384,Douglas,32,73,Brazil,Vissel Kobe,ST,Left,331,73,66,267,315,67,78,82.0,61,73,182.9,73.9,1.0,31,1313,202,42.4,42.4,1500000.0,2020.0,0.428,positive,5.0
210441,Fran Sol,28,73,Spain,Dynamo Kyiv,ST,Right,322,78,65,307,341,67,79,82.0,69,73,180.3,77.1,4.0,5,181,27,36.2,36.2,1000000.0,2018.0,0.606,positive,5.0
199561,Nolito,33,76,Spain,RC Celta,LW,Right,349,56,75,380,359,69,73,61.0,57,62,175.3,64.9,2.0,8,311,57,38.9,38.9,1500000.0,2019.0,0.319,positive,5.0
232581,Eduardo,27,63,Brazil,Sagan Tosu,CB,Left,208,64,55,207,253,40,64,50.0,81,90,182.9,83.9,1.0,28,1653,269,59.0,59.0,1500000.0,2020.0,0.431,positive,5.0
232805,Bernardo,25,74,Brazil,Brighton & Hove Albion,CB,Left,287,67,70,276,344,68,72,78.0,74,70,185.4,76.2,4.0,15,534,67,35.6,35.6,1500000.0,2020.0,0.375,positive,5.0
241463,Dani Raba,24,73,Spain,Villarreal CF,CAM,Left,314,42,73,337,329,70,73,49.0,59,63,182.9,76.2,6.0,1,18,2,18.0,18.0,900000.0,2020.0,0.514,positive,5.0
170733,Gervinho,33,78,Ivory Coast,Parma,LW,Right,353,63,73,337,421,91,69,59.0,73,52,177.8,64.9,3.0,15,610,71,40.7,40.7,1500000.0,2018.0,0.12,positive,5.0
211567,Gilberto,27,74,Brazil,SL Benfica,RB,Right,300,64,72,312,368,78,62,62.0,72,68,177.8,73.9,5.0,20,408,75,20.4,20.4,800000.0,2020.0,0.557,positive,5.0
241585,Igor,22,64,Brazil,Fiorentina,CB,Left,192,57,62,199,322,67,44,70.0,65,78,185.4,83.9,4.0,1,41,6,41.0,41.0,5000000.0,2021.0,0.135,positive,5.0
229686,Henrique,25,68,Brazil,Portimonense SC,LB,Left,252,52,63,314,326,66,61,61.0,69,65,177.8,73.9,3.0,11,566,80,51.5,51.5,1000000.0,2021.0,0.106,positive,5.0
168621,Zeca,31,76,Greece,FC København,CDM,Right,322,58,78,351,381,74,68,66.0,91,72,182.9,67.1,6.0,9,807,123,89.7,89.7,1500000.0,2011.0,0.497,positive,5.0
206651,Roberto Torres,31,77,Spain,CA Osasuna,RM,Right,350,52,77,388,348,69,82,63.0,76,69,177.8,72.1,10.0,4,108,7,27.0,27.0,5000000.0,2012.0,-0.261,negative,5.0
220651,Angeliño,23,80,Spain,RB Leipzig,CM,Left,345,59,79,400,388,86,80,73.0,87,62,175.3,68.9,4.0,3,65,10,21.7,21.7,35000000.0,2021.0,0.272,positive,5.0
224458,Diogo Jota,23,80,Portugal,Liverpool,CAM,Right,344,52,72,370,422,88,82,66.0,79,73,177.8,73.0,5.0,15,561,125,37.4,37.4,45000000.0,2020.0,0.083,positive,5.0
191740,Ander Herrera,30,79,Spain,Paris Saint-Germain,CDM,Right,350,63,82,379,365,69,78,62.0,82,69,182.9,71.2,5.0,15,415,64,27.7,27.7,13000000.0,2019.0,0.547,positive,5.0
191687,Maicon,31,78,Brazil,Al Nassr,CB,Right,289,83,67,334,247,50,85,71.0,72,90,190.5,83.9,1.0,22,648,130,29.5,29.5,1500000.0,2020.0,0.245,positive,5.0
