Name,season,market_val,ID,Age,OVA,performance_score,physical_index,technical_index,avg_sentiment,availability_score,injury_risk_score,is_peak_age,age_peak_diff,is_left_footed,contract_value_proxy,sentiment_performance_index,pos_defender,pos_forward,pos_goalkeeper,pos_midfielder,pos_other,log_market_val
Simão,2012,350000,4077,33,74,51.48,58.25,67.33,0.0,0.99,11.2,0,7,0,148.0,51.48,False,False,False,True,False,12.765691290604371
Cristiano Ronaldo,2009,45000000,20801,35,92,62.44,86.0,88.67,0.366,0.969,9.2,0,9,0,368.0,64.725,False,True,False,False,False,17.622173069956816
Cristiano Ronaldo,2018,45000000,20801,35,92,62.44,86.0,88.67,0.366,0.969,9.2,0,9,0,368.0,64.725,False,True,False,False,False,17.622173069956816
Cristiano Ronaldo,2021,45000000,20801,35,92,62.44,86.0,88.67,0.366,0.969,9.2,0,9,0,368.0,64.725,False,True,False,False,False,17.622173069956816
Ronaldo,2014,700000,37576,33,77,51.96,55.75,75.0,0.299,0.478,58.0,0,7,0,231.0,53.514,False,False,False,True,False,13.45883704259595
Ronaldo,2015,700000,37576,33,77,51.96,55.75,75.0,0.299,0.478,58.0,0,7,0,231.0,53.514,False,False,False,True,False,13.45883704259595
Ronaldo,2016,700000,37576,33,77,51.96,55.75,75.0,0.299,0.478,58.0,0,7,0,231.0,53.514,False,False,False,True,False,13.45883704259595
Ronaldo,2017,700000,37576,33,77,51.96,55.75,75.0,0.299,0.478,58.0,0,7,0,231.0,53.514,False,False,False,True,False,13.45883704259595
Joaquín,2011,1500000,45186,38,80,54.94,53.25,75.33,0.0,0.937,19.9,0,12,0,480.0,54.94,False,False,False,True,False,14.220976332738882
Joaquín,2013,1500000,45186,38,80,54.94,53.25,75.33,0.0,0.937,19.9,0,12,0,480.0,54.94,False,False,False,True,False,14.220976332738882
Joaquín,2015,1500000,45186,38,80,54.94,53.25,75.33,0.0,0.937,19.9,0,12,0,480.0,54.94,False,False,False,True,False,14.220976332738882
Júlio César,2009,250000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,12.429220196836383
Júlio César,2011,250000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,12.429220196836383
Júlio César,2012,250000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,12.429220196836383
Júlio César,2013,250000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,12.429220196836383
Júlio César,2014,250000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,12.429220196836383
Júlio César,2018,300000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,12.611541086966115
Júlio César,2020,500000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,13.122365377402328
Júlio César,2021,500000,48717,37,80,41.42,55.25,18.33,0.0,0.903,30.9,0,11,1,320.0,41.42,False,False,True,False,False,13.122365377402328
Adriano,2010,350000,106019,31,73,46.98,48.5,77.0,0.0,0.872,25.8,0,5,1,0.0,46.98,False,True,False,False,False,12.765691290604371
Adriano,2016,350000,106019,31,73,46.98,48.5,77.0,0.0,0.872,25.8,0,5,1,0.0,46.98,False,True,False,False,False,12.765691290604371
Juninho,2020,300000,112712,38,77,52.6,55.75,72.33,0.0,0.882,47.8,0,12,0,0.0,52.6,False,False,False,True,False,12.611541086966115
Juninho,2021,300000,112712,38,77,52.6,55.75,72.33,0.0,0.882,47.8,0,12,0,0.0,52.6,False,False,False,True,False,12.611541086966115
Rubén Castro,2009,100000,115909,39,71,49.2,68.5,66.33,0.0,0.96,59.3,0,13,0,71.0,49.2,False,True,False,False,False,11.51293546492023
Rubén Castro,2010,100000,115909,39,71,49.2,68.5,66.33,0.0,0.96,59.3,0,13,0,71.0,49.2,False,True,False,False,False,11.51293546492023
Rubén Castro,2017,100000,115909,39,71,49.2,68.5,66.33,0.0,0.96,59.3,0,13,0,71.0,49.2,False,True,False,False,False,11.51293546492023
Rubén Castro,2018,100000,115909,39,71,49.2,68.5,66.33,0.0,0.96,59.3,0,13,0,71.0,49.2,False,True,False,False,False,11.51293546492023
Pepe,2017,1000000,120533,37,81,49.9,79.0,72.67,-0.238,0.941,17.6,0,11,0,324.0,48.712,True,False,False,False,False,13.815511557963774
Pepe,2018,1000000,120533,37,81,49.9,79.0,72.67,-0.238,0.941,17.6,0,11,0,324.0,48.712,True,False,False,False,False,13.815511557963774
Jefferson,2009,125000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,11.736077016252437
Jefferson,2010,125000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,11.736077016252437
Jefferson,2011,125000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,11.736077016252437
Jefferson,2012,125000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,11.736077016252437
Jefferson,2013,300000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,12.611541086966115
Jefferson,2014,200000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,12.206077645517674
Jefferson,2017,300000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,12.611541086966115
Jefferson,2018,300000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,12.611541086966115
Jefferson,2019,300000,135377,33,80,40.08,49.25,19.33,0.0,0.767,27.3,0,7,1,320.0,40.08,False,False,True,False,False,12.611541086966115
Maicon,2009,1200000,135455,33,77,53.3,73.25,77.33,0.0,0.854,29.5,0,7,0,231.0,53.3,True,False,False,False,False,13.997832948091215
Maicon,2015,1200000,135455,33,77,53.3,73.25,77.33,0.0,0.854,29.5,0,7,0,231.0,53.3,True,False,False,False,False,13.997832948091215
Maicon,2016,1200000,135455,33,77,53.3,73.25,77.33,0.0,0.854,29.5,0,7,0,231.0,53.3,True,False,False,False,False,13.997832948091215
Alex,2013,150000,135460,35,80,54.22,56.25,78.0,0.0,0.731,34.2,0,9,1,160.0,54.22,False,False,False,True,False,11.918397239722838
Alex,2016,150000,135460,35,80,54.22,56.25,78.0,0.0,0.731,34.2,0,9,1,160.0,54.22,False,False,False,True,False,11.918397239722838
Alex,2017,150000,135460,35,80,54.22,56.25,78.0,0.0,0.731,34.2,0,9,1,160.0,54.22,False,False,False,True,False,11.918397239722838
Alex,2018,150000,135460,35,80,54.22,56.25,78.0,0.0,0.731,34.2,0,9,1,160.0,54.22,False,False,False,True,False,11.918397239722838
