player_id,date,position,performance_rating,goals_assists,minutes_played,days_injured,social_sentiment_score,contract_duration_months,market_value
1,2018-07-01,Defender,85.88,0,50,0,-0.0344,48,47539405.7
1,2018-07-01,Defender,86.33,0,313,0,0.1547,47,48366253.0
1,2018-08-01,Defender,85.11,0,132,0,0.1353,46,46810324.35
1,2018-09-01,Defender,91.55,0,130,0,0.4814,45,55512858.37
1,2018-10-01,Defender,89.37,0,0,27,0.6157,44,44319653.27
1,2018-11-01,Defender,82.62,0,241,0,0.0469,43,46874680.22
1,2018-12-01,Defender,84.66,1,182,0,0.5209,42,52267129.96
1,2019-01-01,Defender,87.55,1,60,0,0.6901,41,51129240.98
1,2019-02-01,Defender,87.46,1,92,0,0.9524,40,51587599.73
1,2019-03-01,Defender,85.23,1,356,0,0.8537,39,50794226.8
1,2019-04-01,Defender,83.25,0,6,21,0.8056,38,44477680.02
1,2019-05-01,Defender,91.24,0,299,0,1.0,37,54585268.32
1,2019-06-01,Defender,89.59,0,0,29,0.4474,36,42948165.95
1,2019-07-01,Defender,88.55,1,147,0,0.9472,35,54339056.41
1,2019-08-01,Defender,86.51,0,352,0,0.0438,34,47469431.09
1,2019-09-01,Defender,84.11,0,19,0,0.7939,33,50178698.62
1,2019-10-01,Defender,84.22,0,248,0,0.2869,32,48212669.97
1,2019-11-01,Defender,88.44,0,348,0,0.8349,31,50303879.71
1,2019-12-01,Defender,84.91,1,132,0,0.1848,30,44941321.55
1,2020-01-01,Defender,91.82,1,213,0,1.0,29,54134641.78
1,2020-02-01,Defender,88.02,1,141,0,0.5811,28,51727568.17
1,2020-03-01,Defender,88.13,1,176,0,0.2034,27,50650788.4
1,2020-04-01,Defender,86.8,0,53,0,0.6403,26,49321792.3
1,2020-05-01,Defender,85.7,0,167,0,0.1811,25,45649754.51
1,2020-06-01,Defender,94.1,0,45,25,0.5013,24,45309959.3
1,2020-07-01,Defender,88.11,1,69,0,0.9059,23,46830079.72
1,2020-08-01,Defender,93.39,0,220,0,0.6731,22,52396167.68
1,2020-09-01,Defender,90.06,1,221,0,0.9247,21,52474935.92
1,2020-10-01,Defender,89.78,0,104,0,0.328,20,47071202.89
1,2020-11-01,Defender,89.27,1,143,0,0.5766,19,49507881.1
1,2020-12-01,Defender,89.31,0,147,0,1.0,18,51867204.45
1,2021-01-01,Defender,91.85,1,61,0,0.8439,17,52291973.14
1,2021-02-01,Defender,93.96,0,229,0,0.3773,16,49738322.47
1,2021-03-01,Defender,90.46,0,89,0,0.1924,15,47292184.6
1,2021-04-01,Defender,89.99,1,158,0,0.6315,14,51138262.39
1,2021-05-01,Defender,90.59,1,222,0,0.7062,13,48923655.65
1,2021-06-01,Defender,92.71,1,244,0,0.8546,12,48267741.14
1,2021-07-01,Defender,94.8,0,286,0,1.0,11,50403817.87
1,2021-08-01,Defender,88.72,0,19,0,0.5637,10,46279451.6
1,2021-09-01,Defender,89.22,0,19,0,0.6482,9,47551951.61
1,2021-10-01,Defender,87.78,1,23,0,0.7307,8,45286312.65
1,2021-11-01,Defender,86.93,0,217,0,0.0299,7,42559123.31
1,2021-12-01,Defender,95.4,1,46,0,0.428,6,46529101.92
1,2022-01-01,Defender,94.94,1,56,0,0.6694,5,48126102.22
1,2022-02-01,Defender,89.67,1,55,0,0.3726,4,44415106.2
1,2022-03-01,Defender,88.43,1,355,0,0.2336,3,43253719.58
1,2022-04-01,Defender,93.42,1,31,0,0.6073,2,45404277.97
1,2022-05-01,Defender,88.42,1,144,0,0.5236,1,44903802.94
1,2022-06-01,Defender,93.62,1,135,14,0.8499,0,42158599.6
1,2022-07-01,Defender,88.67,0,284,0,0.9206,0,44264316.74
1,2022-08-01,Defender,97.98,1,105,0,0.8389,0,45855999.18
1,2022-09-01,Defender,96.06,0,125,0,1.0,0,46131041.86
1,2022-10-01,Defender,92.87,0,237,0,1.0,0,45407929.99
1,2022-11-01,Defender,92.21,1,70,0,0.2969,0,43818896.91
1,2022-12-01,Defender,98.2,1,327,0,0.6333,0,47451453.94
1,2023-01-01,Defender,91.74,1,46,0,0.2062,0,41323742.11
1,2023-02-01,Defender,90.36,0,328,0,0.4079,0,41551136.2
1,2023-03-01,Defender,94.23,0,360,0,0.5684,0,45572311.24
1,2023-04-01,Defender,98.16,0,0,20,1.0,0,44561745.39
1,2023-05-01,Defender,88.56,0,193,0,0.4973,0,41922251.12
1,2023-06-01,Defender,95.59,0,85,0,1.0,0,44260754.86
1,2023-07-01,Defender,94.09,0,255,0,1.0,0,45574777.01
1,2023-08-01,Defender,94.23,1,284,0,0.7034,0,43902981.37
1,2023-09-01,Defender,97.74,1,340,0,1.0,0,45111966.27
1,2023-10-01,Defender,96.34,0,0,7,0.58,0,41211721.39
1,2023-11-01,Defender,96.28,0,71,0,1.0,0,44005614.68
1,2023-12-01,Defender,94.15,0,231,0,0.5317,0,42901027.21
1,2024-01-01,Defender,93.21,0,285,0,0.486,0,42684979.66
1,2024-01-01,Defender,95.92,1,198,0,0.5655,0,43309291.14
1,2024-03-01,Defender,94.74,1,345,0,0.4903,0,40333740.57
1,2024-03-01,Defender,95.03,0,35,0,0.7236,0,45172815.59
1,2024-04-01,Defender,98.71,1,221,0,0.5246,0,44035456.15
2,2018-07-01,Forward,61.44,4,50,0,-0.152,48,5221285.7
2,2018-07-01,Forward,67.77,5,14,0,0.1591,47,5755459.1
2,2018-08-01,Forward,64.93,0,250,0,-0.5541,46,5405180.95
2,2018-09-01,Forward,64.37,5,312,0,-0.6133,45,5402351.76
2,2018-10-01,Forward,66.08,2,221,0,-0.1269,44,5516713.38
2,2018-11-01,Forward,64.1,4,335,0,-0.359,43,5610505.71
2,2018-12-01,Forward,68.58,1,348,0,0.0504,42,6049236.5
2,2019-01-01,Forward,60.82,1,251,0,-0.5789,41,5236993.76
2,2019-02-01,Forward,63.35,5,58,0,-0.227,40,5279776.14
2,2019-03-01,Forward,62.75,4,0,8,-0.2931,39,5124891.37
2,2019-04-01,Forward,65.54,2,196,0,-0.0214,38,5814135.78
2,2019-05-01,Forward,60.86,4,120,0,-0.7889,37,5088399.8
2,2019-06-01,Forward,71.65,4,221,0,-0.6289,36,5441381.51
2,2019-07-01,Forward,66.53,3,141,0,-0.2558,35,5132291.95
2,2019-08-01,Forward,69.5,1,102,0,0.0341,34,5882024.33
2,2019-09-01,Forward,68.72,5,103,0,-0.7217,33,5255610.07
2,2019-10-01,Forward,69.8,1,151,0,-0.2789,32,5803020.46
2,2019-11-01,Forward,69.68,0,314,0,-0.4165,31,5746274.28
2,2019-12-01,Forward,67.32,0,290,0,-0.0452,30,5531957.76
2,2020-01-01,Forward,66.68,0,337,0,-0.6968,29,5009856.43
2,2020-02-01,Forward,67.01,2,313,0,-0.1092,28,5762682.7
2,2020-03-01,Forward,71.29,3,329,0,0.2314,27,6028569.57
2,2020-04-01,Forward,65.38,0,112,0,-0.2613,26,5392679.56
