Name,season,market_val,ID
Cristiano Ronaldo,2009,45000000,20801
Dani Pacheco,2009,200000,188554
Manuel da Costa,2009,450000,177533
Jô,2009,1500000,140384
Jô,2009,1500000,140384
Jô,2009,1500000,140384
Robinho,2009,300000,136144
Bebé,2010,800000,166074
Xisco,2010,100000,164471
Ramires,2010,800000,184943
Fran Mérida,2010,1000000,183520
Marcos Alonso,2010,15000000,192638
Rodrigo,2010,18000000,198329
Ricardo Vaz Tê,2010,100000,152718
Enric Vallès,2010,200000,189895
David Silva,2010,5000000,168542
Jô,2010,1500000,140384
Robinho,2010,300000,136144
Robinho,2010,300000,136144
Sandro,2010,500000,190782
Daniel Ayala,2010,1800000,194334
Dani Pacheco,2010,200000,188554
Daniel Ayala,2010,1800000,194334
Xisco,2010,100000,164471
David Luiz,2010,4000000,179944
Wellington Silva,2010,850000,198635
Wellington Silva,2010,850000,198635
Daniel Ayala,2010,1800000,194334
Daniel Ayala,2010,1800000,194334
Dani Pacheco,2010,200000,188554
Daniel Ayala,2011,1800000,194334
Bebé,2011,800000,166074
Juan Mata,2011,4000000,178088
Oriol Romeu,2011,6000000,199576
Gervinho,2011,1500000,170733
Elton Monteiro,2011,600000,202801
Ignasi Miquel,2011,1000000,196935
Cesc Fàbregas,2011,5000000,162895
Rodrigo,2011,18000000,198329
Jô,2011,1500000,140384
Daniel Ayala,2011,1800000,194334
Dani Pacheco,2011,200000,188554
Wellington Silva,2011,850000,198635
Wellington Silva,2011,850000,198635
Oscar,2012,18000000,188152
Pablo Hernández,2012,800000,179591
Fábio,2012,1800000,189680
Bebé,2012,800000,166074
Fábio,2012,1800000,189680
Xisco,2012,100000,164471
Santi Cazorla,2012,2000000,146562
Wellington Silva,2012,850000,198635
Wellington Silva,2012,850000,198635
Javi García,2012,600000,161754
Rony Lopes,2012,6000000,212692
Suso,2012,18000000,202651
Dani Pacheco,2012,200000,188554
Daniel Ayala,2012,1800000,194334
Daniel Ayala,2012,1800000,194334
Fábio,2012,1800000,189680
Fábio,2012,1800000,189680
Bebé,2012,800000,166074
Xisco,2012,100000,164471
Nacho Monreal,2012,1500000,177604
Dani Pacheco,2012,200000,188554
Joel Robles,2012,4000000,195668
Bebé,2013,800000,166074
Bebé,2013,800000,166074
Fernandinho,2013,2000000,135507
Jesús Navas,2013,3000000,146536
Willian,2013,9000000,180403
Oriol Romeu,2013,6000000,199576
Wellington Silva,2013,850000,198635
Ignasi Miquel,2013,1000000,196935
Gervinho,2013,1500000,170733
Elton Monteiro,2013,600000,202801
Ignasi Miquel,2013,1000000,196935
Wellington Silva,2013,850000,198635
Paulinho,2013,5000000,187961
Joel Robles,2013,4000000,195668
Iago Aspas,2013,9000000,192629
Luis Alberto,2013,40000000,198706
Tiago Ilori,2013,1000000,205185
Dani Pacheco,2013,200000,188554
Dani Pacheco,2013,200000,188554
Suso,2013,18000000,202651
Jordi Amat,2013,1400000,198198
Álvaro Vázquez,2013,400000,201403
Adrián,2013,1000000,194911
Daniel Ayala,2013,1800000,194334
Marc Muniesa,2013,2400000,192766
Juan Mata,2013,4000000,178088
Fábio,2013,1800000,189680
Juan Mata,2013,4000000,178088
Tiago Ilori,2013,1000000,205185
Daniel Ayala,2013,1800000,194334
Daniel Ayala,2013,1800000,194334
Marcos Alonso,2013,15000000,192638
Juan Cala,2013,900000,186519
Fábio,2013,1800000,189680
Wellington Silva,2014,850000,198635
Wellington Silva,2014,850000,198635
Ignasi Miquel,2014,1000000,196935
Wellington Silva,2014,850000,198635
Diego Costa,2014,6000000,179844
Cesc Fàbregas,2014,5000000,162895
Filipe Luís,2014,1500000,164169
Oriol Romeu,2014,6000000,199576
David Luiz,2014,4000000,179944
Oriol Romeu,2014,6000000,199576
Alberto Moreno,2014,2500000,205566
Tiago Ilori,2014,1000000,205185
Suso,2014,18000000,202651
Luis Alberto,2014,40000000,198706
Tiago Ilori,2014,1000000,205185
Iago Aspas,2014,9000000,192629
Javi García,2014,600000,161754
Rony Lopes,2014,6000000,212692
Ander Herrera,2014,13000000,191740
Bebé,2014,800000,166074
Bebé,2014,800000,166074
Nani,2014,2000000,139068
Ayoze Pérez,2014,18000000,215590
Sandro,2014,500000,190782
Marcos Alonso,2014,15000000,192638
Pablo Hernández,2014,800000,179591
Álvaro Vázquez,2014,400000,201403
Sandro,2014,500000,190782
Gabriel Paulista,2014,15000000,201305
Carles Gil,2014,7000000,210930
Suso,2014,18000000,202651
Nélson Oliveira,2014,2000000,189303
Nenê,2014,750000,146692
Ricardo Vaz Tê,2014,100000,152718
Pedro,2015,5000000,189505
Kenedy,2015,10000000,215639
Nathan,2015,2000000,222060
Oriol Romeu,2015,6000000,199576
Filipe Luís,2015,1500000,164169
Oriol Romeu,2015,6000000,199576
Nathan,2015,2000000,222060
Rubén Sobrino,2015,1500000,208622
Rony Lopes,2015,6000000,212692
Rony Lopes,2015,6000000,212692
Rubén Sobrino,2015,1500000,208622
Wellington Silva,2015,850000,198635
Wellington Silva,2015,850000,198635
Andreas Pereira,2015,8000000,208450
Nani,2015,2000000,139068
Nani,2015,2000000,139068
Rafael,2015,2700000,140082
Paulinho,2015,5000000,187961
Roberto Firmino,2015,40000000,201942
Tiago Ilori,2015,1000000,205185
Iago Aspas,2015,9000000,192629
Luis Alberto,2015,40000000,198706
Iago Aspas,2015,9000000,192629
Tiago Ilori,2015,1000000,205185
Luis Alberto,2015,40000000,198706
Oriol Romeu,2015,6000000,199576
Juanmi,2015,3000000,197891
Éder,2015,700000,178311
Nélson Oliveira,2015,2000000,189303
Joselu,2015,6000000,173608
Pedro Obiang,2015,5000000,200054
Nenê,2015,750000,146692
Sandro,2015,500000,190782
Adama Traoré,2015,30000000,213956
José Crespo,2015,600000,172685
Tiago Ilori,2015,1000000,205185
Ignasi Miquel,2015,1000000,196935
Alexandre Pato,2015,1500000,180175
Ramires,2015,800000,184943
Tiago Ilori,2015,1000000,205185
Éder,2015,700000,178311
Sandro,2015,500000,190782
José Crespo,2015,600000,172685
Tiago Ilori,2015,1000000,205185
Mario Suárez,2015,300000,171018
Ivo Pinto,2015,800000,197860
Lucas Pérez,2016,2500000,199354
Wellington Silva,2016,850000,198635
Pau López,2016,10000000,221087
Nolito,2016,1500000,199561
Pablo Marí,2016,5000000,206654
Aleix García,2016,1800000,228813
Rubén Sobrino,2016,1500000,208622
Pablo Marí,2016,5000000,206654
