feature,importance
potential_score,0.41840324841438536
total_injuries,0.0398285647111071
Age,0.03649770775324784
Age_norm,0.036262898195912566
age_squared,0.03536575759497964
age_peak_diff,0.03095115648554279
contract_value_proxy,0.028000159166979503
injury_adj_performance,0.02441337675570197
avg_growth_rate,0.022063377097448208
Jumping,0.01996140664307839
Strength,0.01778629898375683
physical_index,0.017363569778545643
total_days_missed,0.016621143596400174
num_seasons,0.015827224278420496
Heading Accuracy,0.015548939286551818
availability_score,0.015528486123202819
Stamina,0.014152176021606467
avg_days_per_injury,0.013668629591568395
Weight_kg,0.01337626652083592
sentiment_performance_index,0.013296617230615804
Movement,0.012498531021276807
injury_risk_score,0.012079503027272216
Attacking,0.011985306045330933
Short Passing,0.011679715093437276
Acceleration,0.01101657621388065
Shot Power,0.010848201322156716
Skill,0.010546996019575603
technical_index,0.009910450771126959
OVA,0.00754114606313586
Height_cm,0.007438159103939171
OVA_norm,0.007139505182058346
performance_score_norm,0.006996083370132946
performance_score,0.006814573595965177
value_volatility,0.006410322197578332
sentiment_count,0.005774148453203502
avg_sentiment_norm,0.0031908299354484687
Contract_Years,0.003184688728306478
avg_sentiment,0.0028546987286788865
is_left_footed,0.002496381403696905
is_peak_age,0.001729894720405104
pos_forward,0.0010844577652675295
pos_defender,0.0009313675419813392
pos_midfielder,0.0009144160265557149
pos_goalkeeper,1.7043439701394035e-05
