ID,Name,Age,OVA,Nationality,Club,BP,Team & Contract,Height,Weight,foot,Joined,Contract,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength
4077,Simão,33,74,Portugal,RCD Espanyol,CAM,RCD Espanyol 2012 ~ 2014,"5'7""",141lbs,Right,"Aug 1, 2012",2012 ~ 2014,332,55,74,393,369,71,73,69,48,45
20801,Cristiano Ronaldo,35,92,Portugal,Juventus,ST,Juventus 2018 ~ 2022,"6'2""",183lbs,Right,"Jul 10, 2018",2018 ~ 2022,437,90,82,414,431,87,94,95,84,78
37576,Ronaldo,33,77,Brazil,Corinthians,CAM,Corinthians 2009 ~ 2012,"6'0""",209lbs,Right,"Jan 1, 2009",2009 ~ 2012,380,64,80,383,295,61,81,44,37,81
45186,Joaquín,38,80,Spain,Real Betis,CAM,Real Betis 2015 ~ 2021,"5'10""",165lbs,Right,"Sep 1, 2015",2015 ~ 2021,379,63,83,409,359,67,80,31,51,64
48717,Júlio César,37,80,Brazil,SL Benfica,GK,SL Benfica 2014 ~ 2018,"6'1""",174lbs,Left,"Aug 19, 2014",2014 ~ 2018,82,18,23,107,282,39,14,75,35,72
106019,Adriano,31,73,Brazil,Club Athletico Paranaense,ST,Club Athletico Paranaense 2014 ~ 2014,"6'2""",194lbs,Left,"Feb 11, 2014",2014 ~ 2014,338,81,60,341,210,41,90,30,30,93
112712,Juninho,38,77,Brazil,Vasco da Gama,CAM,Vasco da Gama 2013 ~ 2013,"5'10""",163lbs,Right,"Jul 12, 2013",2013 ~ 2013,364,54,84,407,319,58,79,56,52,57
115909,Rubén Castro,39,71,Spain,FC Cartagena,CF,FC Cartagena 2020 ~ 2021,"5'7""",150lbs,Right,"Sep 12, 2020",2020 ~ 2021,333,67,63,327,380,72,69,82,60,60
120533,Pepe,37,81,Portugal,Portugal,CB,FC Porto 2019 ~ 2021,"6'2""",179lbs,Right,"Jan 8, 2019",FC Porto 2019 ~ 2021,270,82,73,284,321,63,63,88,82,83
135377,Jefferson,33,80,Brazil,Brazil,GK,Brazil Free,"6'2""",198lbs,Left,"Sep 1, 2009",Free,71,12,21,82,251,44,25,60,31,62
