Player Name,player_id,age,Club,market_value,fee,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Passes%,Progressive Carries,Tackles,Interceptions,Blocks,gDuels Won,gDuels %,aDuels Won,aDuels %,Yellow Cards,Red Cards,Fouls,Clean Sheets,Saves,Saves %,Goals Conceded,injury_count,days_injured,days_since_injury,injury_severity,sentiment_polarity,mention_frequency,sentiment_trend_30d,sentiment_trend_90d,sentiment_score,contract_years_remaining,contract_status,market_value_change_rate,club_financial_strength,league_competitiveness,value_to_fee_ratio,goals_per_90,assists_per_90,goals_per_shot,pass_completion_rate,defensive_actions_per_90,age_adjusted_goals,age_adjusted_assists,is_forward,is_midfielder,is_defender,is_goalkeeper,goal_assist_product,shot_conversion_product,injury_risk_score,age_injury_interaction,contract_urgency,market_momentum,is_summer_window,is_winter_window,season_phase,months_to_summer_window,sentiment_volatility,positive_sentiment_ratio
erling haaland,418560.0,21.0,Manchester City,150000000.0,60000000.0,FWD,31,2741,22,3,108,6,0.2,0.88,108,11,24,18,41,0.59,64,0.6,2,0,24,6,0,0.0,0,0.0,0.0,365.0,0.0,0.7859784098543356,1000,-0.06592847554238648,0.0578916195009169,0.8498851865983346,4.6,long-term,-0.2095863682689528,10.0,10.0,2.5,0.7223641006931777,0.0985041955490696,0.2037037037037037,0.88,1.7402407880335642,0.4334184604159066,0.0591025173294418,1.0,0.0,0.0,0.0,66.0,21.6,0.01,0.21,0.196078431372549,-0.2095863682689528,0.0,1.0,mid,4.0,0.12382009504330338,1
jadon sancho,401173.0,21.0,Chelsea,100000000.0,85000000.0,MID,31,1764,3,0,24,3,0.33,0.81,63,13,4,3,34,0.53,42,0.58,2,0,6,3,0,0.0,0,0.0,0.0,365.0,0.0,0.08478041666184821,1000,-0.06034621388911309,-0.008824678064464922,0.35904659136359346,1.1,mid-term,0.1512527167414931,9.0,10.0,1.1764705882352942,0.1530612244897959,0.0,0.125,0.81,1.020408163265306,0.0918367346938775,0.0,0.0,1.0,0.0,0.0,0.0,7.92,0.01,0.21,0.625,0.1361274450673438,0.0,1.0,mid,4.0,0.05152153582464817,1
declan rice,357662.0,24.0,Arsenal,90000000.0,116600000.0,MID,35,2833,4,7,48,18,0.15,0.81,260,53,13,5,121,0.35,10,0.39,5,1,21,7,0,0.0,0,0.0,0.0,365.0,0.0,0.2800666393543344,987,0.15349959629730947,0.2600245111692698,0.4918508433522299,3.9,long-term,0.2834422921753051,8.0,10.0,0.7718696397941681,0.1270737733851041,0.2223791034239322,0.0833333333333333,0.81,2.255559477585598,0.1016590187080833,0.1779032827391458,0.0,1.0,0.0,0.0,28.0,7.199999999999999,0.04,0.9600000000000002,0.2272727272727272,0.2267538337402441,0.0,1.0,mid,4.0,0.10652491487196031,1
kai havertz,309400.0,21.0,Arsenal,81000000.0,100000000.0,FWD,23,1874,9,3,53,2,0.0,0.81,34,16,19,6,59,0.47,8,0.27,5,0,38,7,0,0.0,0,0.0,0.0,365.0,0.0,0.2844995022889275,906,0.12151008426943398,0.0975700585179539,0.47067812313072077,2.8,mid-term,0.1399337589268064,8.0,10.0,0.81,0.4322305229455709,0.144076840981857,0.1698113207547169,0.81,1.969050160085379,0.2593383137673425,0.0864461045891142,1.0,0.0,0.0,0.0,27.0,0.0,0.01,0.21,0.303030303030303,0.1119470071414451,0.0,1.0,mid,4.0,0.023940025751480076,1
christopher nkunku,344381.0,25.0,Chelsea,80000000.0,60000000.0,MID,27,911,3,0,25,23,0.18,0.84,124,12,12,3,90,0.54,17,0.4,2,0,16,0,0,0.0,0,1.0,27.0,73.0,5.0,0.3181846861212701,834,-0.11743516381312165,0.0163847927322086,0.472679330234939,1.9,mid-term,-0.1041364739211059,9.0,10.0,1.3333333333333333,0.2963776070252469,0.0,0.12,0.84,2.6673984632272227,0.256860592755214,0.0,0.0,1.0,0.0,0.0,0.0,4.5,0.5700000000000001,14.250000000000002,0.4166666666666667,-0.0937228265289953,0.0,1.0,mid,4.0,0.13381995654533024,1
josko gvardiol,475959.0,21.0,Manchester City,75000000.0,90000000.0,DEF,37,3279,5,0,40,4,0.07,0.88,164,58,22,4,111,0.56,22,0.52,2,0,16,11,0,0.0,0,0.0,0.0,365.0,0.0,0.16173271317910673,862,0.06794076227371354,0.18897102686876288,0.37155455756703304,2.3,mid-term,-0.4490989540570015,10.0,10.0,0.8333333333333334,0.1372369624885636,0.0,0.125,0.88,2.305580969807868,0.0823421774931381,0.0,0.0,0.0,1.0,0.0,0.0,2.8000000000000003,0.01,0.21,0.3571428571428571,-0.4490989540570015,0.0,1.0,mid,4.0,0.12103026459504934,1
trent alexander-arnold,314353.0,26.0,Liverpool,75000000.0,10000000.0,DEF,33,2377,3,6,45,7,0.17,0.86,93,72,29,12,61,0.59,45,0.59,5,0,11,4,0,0.0,0,0.0,0.0,365.0,0.0,0.35104407714677666,782,0.16423599283976187,0.2602261399602615,0.480096488368378,1.4,mid-term,-0.0005662722658866,9.0,10.0,7.5,0.1135885570046276,0.2271771140092553,0.0666666666666666,0.86,4.278502313840976,0.1060159865376525,0.212031973075305,0.0,0.0,1.0,0.0,18.0,7.65,0.06,1.56,0.5263157894736842,-0.0005096450392979,0.0,1.0,mid,4.0,0.09599014712049964,1
raheem sterling,134425.0,27.0,Arsenal,70000000.0,56200000.0,MID,17,496,0,2,11,0,0.0,0.0,0,9,0,0,0,0.0,0,0.0,1,0,12,0,0,0.0,0,0.0,0.0,365.0,0.0,0.44363515029369255,709,0.26947017116981,0.07184002983727457,0.5230321176930972,4.8,long-term,0.1788943759822643,8.0,10.0,1.2455516014234875,0.0,0.3629032258064516,0.0,0.0,1.6330645161290325,0.0,0.3629032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0699999999999999,1.89,0.1886792452830188,0.1431155007858114,0.0,1.0,mid,4.0,0.19763014133253543,1
jack grealish,203460.0,25.0,Manchester City,65000000.0,117500000.0,MID,20,715,1,0,15,0,0.0,0.0,0,9,0,0,0,0.0,0,0.0,3,0,5,1,0,0.0,0,1.0,37.0,102.0,2.0,0.3131134422039639,657,-0.08949061727033703,-0.0030673349742515415,0.41608250644587164,1.1,mid-term,0.2988654117089068,10.0,10.0,0.5531914893617021,0.1258741258741259,0.0,0.0666666666666666,0.0,1.132867132867133,0.1090909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3741095890410958,9.352739726027396,0.625,0.2988654117089068,0.0,1.0,mid,4.0,0.08642328229608548,1
matthijs de ligt,326031.0,25.0,Manchester United,65000000.0,45000000.0,DEF,29,2128,2,0,18,6,0.08,0.85,120,30,23,8,95,0.6,20,0.5,3,0,16,3,0,0.0,0,0.0,0.0,365.0,0.0,0.07885461357511803,774,-0.06437912385054936,-0.10014721604601423,0.2871662614706146,4.5,long-term,0.2525430278938796,9.0,10.0,1.4444444444444444,0.0845864661654135,0.0,0.1111111111111111,0.85,2.5798872180451125,0.0733082706766917,0.0,0.0,0.0,1.0,0.0,0.0,1.44,0.05,1.25,0.2,0.2272887251044916,0.0,1.0,mid,4.0,0.03576809219546487,1
