player_name,total_goals,total_assists,current_market_value,transfer_fee,total_goal_contributions,goals_per_season,assists_per_season,total_injuries,total_days_missed,injury_risk_category,contract_days_remaining,contract_status,value_change,value_change_pct,avg_sentiment_3m,sentiment_trend,sentiment_volatility,engagement_rate,popularity_score,num_seasons,num_competitions,num_clubs,transfer_year,career_stage,competition_score,clubs_per_season
Hwang-jung Kim (584813),7,0,0,0,7,1.4,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.020730088,15.27276779,10.80206067450295,4,6,3,2002.0,Prime,6,0.6
Gianni Cavezzi (223338),10,5,0,0,15,0.625,0.3125,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,12.93470226,9.673875648548014,15,8,10,2002.0,Veteran,13,0.625
Andrea Tubaldo (728579),10,0,0,0,10,0.9090909090909092,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,14.12830044,10.303533032939104,10,3,8,2002.0,Late_Prime,3,0.7272727272727273
Erik ten Hag (148408),12,11,0,0,23,0.8571428571428571,0.7857142857142857,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,16.54300146,11.49270446066284,13,10,4,2002.0,Veteran,10,0.2857142857142857
Igor Akinfeev (15570),0,2,1000000,0,2,0.0,0.0769230769230769,6,443,High_Risk,8581.0,Long_Term,-1000000,-99.9999000001,0.983266564,0.050200307,0.054794332,14.66575342,10.563415447519947,25,11,2,2003.0,Veteran,25,0.0769230769230769
Stoycho Stoilov (762),10,3,0,0,13,1.0,0.3,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,14.99516641,10.69971510781528,9,8,5,2003.0,Late_Prime,24,0.5
Dennis van der Pol (293845),0,0,0,0,0,0.0,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.481044044,-0.02032173,0.062620971,18.07496823,12.16981776417917,0,0,0,2003.0,Early,0,0.0
Michele Zago (779296),0,0,0,0,0,0.0,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.483222672,0.062860968,0.144322758,13.72649215,9.857622344844035,0,0,0,2003.0,Early,0,0.0
Jason Moore (222521),1,7,0,0,8,0.1428571428571428,1.0,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.002007634,13.94186551,10.150070479117302,6,4,4,2003.0,Prime,4,0.5714285714285714
Takehito Suzuki (532750),11,0,0,0,11,0.9166666666666666,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.944144164,-0.167567507,0.048555729,19.65161576,12.994884022256825,11,7,5,2004.0,Late_Prime,7,0.4166666666666667
Curtis Spiteri (222283),0,0,0,0,0,0.0,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.536414283,-0.094157671,0.091123745,11.67569457,8.922565474922608,1,2,1,2004.0,Early,2,0.5
Aleksandar Jovic (4724),41,9,0,0,50,4.555555555555555,1.0,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,13.95050798,10.152583916963952,8,12,6,2004.0,Late_Prime,16,0.6666666666666666
Rod Wallace (13803),182,40,0,0,222,10.11111111111111,2.2222222222222223,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,17.509674,11.977564617034256,17,15,5,2004.0,Veteran,27,0.2777777777777778
Manuel Segovia (1023760),0,0,0,0,0,0.0,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.517473291,0.080936346,0.144768897,13.18871381,9.65542052777745,3,5,2,2004.0,Early,5,0.5
Stelios Alexandris (449907),0,0,0,0,0,0.0,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.455137656,0.045324611,0.106881171,16.76004363,11.44500059943712,0,0,0,2005.0,Early,0,0.0
Jorge Santillana (808438),29,1,0,0,30,2.636363636363636,0.0909090909090909,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,14.41973841,10.37532348208885,10,9,7,2005.0,Late_Prime,9,0.6363636363636364
Jann Jensen (23847),3,2,0,0,5,0.2727272727272727,0.1818181818181818,0,0,No_Risk,712.0,Unknown,0,0.0,0.443357811,-0.041007608,0.14708477,17.24009538,11.680562565694707,10,5,3,2005.0,Late_Prime,13,0.2727272727272727
Takis Gonias (9690),37,14,0,0,51,2.466666666666667,0.9333333333333332,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,14.24728181,10.294848306484258,14,9,8,2005.0,Veteran,18,0.5333333333333333
Jamie Redknapp (3424),47,33,0,0,80,3.1333333333333333,2.2,0,0,No_Risk,712.0,Unknown,3000000,300000000.0,1.0,0.0,0.0,15.83165794,11.10553700633345,14,11,4,2005.0,Veteran,23,0.2666666666666666
Adrian Pennock (304419),2,0,0,0,2,0.1538461538461538,0.0,0,0,No_Risk,712.0,Unknown,0,0.0,0.750118685,0.175260485,0.098672633,16.34456193,11.329658488543725,12,6,4,2005.0,Late_Prime,6,0.3076923076923077
Aleksandr Mostovoy (7556),147,70,0,0,217,5.88,2.8,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,14.94026398,10.679654201162522,24,15,7,2005.0,Veteran,27,0.28
Preki (26847),92,79,0,0,171,6.571428571428571,5.642857142857143,0,0,No_Risk,712.0,Unknown,0,0.0,1.0,0.0,0.0,16.5592062,11.506481211912812,13,7,5,2006.0,Veteran,11,0.3571428571428571
Dave Walton (13498),7,0,0,0,7,0.7,0.0,0,0,No_Risk,712.0,Unknown,50000,5000000.0,1.0,0.0,0.00990657,14.04979751,10.185807207438874,9,7,4,2006.0,Late_Prime,7,0.4
Razaq Ishola (29612),1,0,0,0,1,0.3333333333333333,0.0,0,0,No_Risk,712.0,Unknown,50000,5000000.0,0.547911771,0.082592269,0.106332567,18.27633531,12.193161679609036,2,4,2,2006.0,Early,5,0.6666666666666666
